Activision,ATVI
Adobe,ADBE
Alexion,ALXN
Altera,ALTR
Amazon.com,AMZN
Amgen,AMGN
Apollo,APOL
Apple,AAPL
Applied,AMAT
"Autodesk,",ADSK
Automatic,ADP
Bed,BBBY
Biogen,BIIB
BMC,BMC
CA,CA
Celgene,CELG
Cerner,CERN
Check,CHKP
Cisco,CSCO
Citrix,CTXS
Comcast,CMCSA
Costco,COST
Dell,DELL
DENTSPLY,XRAY
Dollar,DLTR
Electronic,EA
Expeditors,EXPD
Express,ESRX
Fastenal,FAST
"Fiserv,",FISV
Flextronics,FLEX
FLIR,FLIR
Gilead,GILD
Green,GMCR
Henry,HSIC
Intel,INTC
Intuit,INTU
KLA-Tencor,KLAC
Lam,LRCX
Linear,LLTC
"Mattel,",MAT
Maxim,MXIM
Microchip,MCHP
Micron,MU
Microsoft,MSFT
Mylan,MYL
"NetApp,",NTAP
News,NWSA
O'Reilly,ORLY
Oracle,ORCL
PACCAR,PCAR
"Paychex,",PAYX
Qiagen,QGEN
QUALCOMM,QCOM
Ross,ROST
SanDisk,SNDK
Sigma-Aldrich,SIAL
Sirius,SIRI
"Staples,",SPLS
Starbucks,SBUX
"Stericycle,",SRCL
Symantec,SYMC
Teva,TEVA
Urban,URBN
Vertex,VRTX
Vodafone,VOD
Whole,WFM
"Xilinx,",XLNX
Yahoo!,YHOO